id,title,category,color,image_path,shop_url
VE001,Reconstructed Trench,upper,charcoal,data/catalog/images/screen1.png,https://www.google.com/search?tbm=shop&q=reconstructed+trench+coat+buy
VE002,Volume Linen Dress,dress,ivory,data/catalog/images/screen2.png,https://www.google.com/search?tbm=shop&q=volume+linen+dress+buy
VE003,Neon Couture Drape,dress,violet,data/catalog/images/screen1 - Copy.png,https://www.google.com/search?tbm=shop&q=iridescent+violet+couture+dress+buy
VE004,Noir Leather Messenger,upper,black,data/catalog/images/screen5.png,https://www.google.com/search?tbm=shop&q=black+leather+messenger+bag+buy
VE005,Atelier Black Blazer,upper,black,data/catalog/images/screen4.png,https://www.google.com/search?tbm=shop&q=black+tailored+blazer+buy
DF001,Turtle Check Men Navy Blue Shirt,upper,navy blue,data/catalog/images/df_upper_001.jpg,https://www.google.com/search?tbm=shop&q=Turtle+Check+Men+Navy+Blue+Shirt+buy
DF002,Puma Men Grey T-shirt,upper,grey,data/catalog/images/df_upper_002.jpg,https://www.google.com/search?tbm=shop&q=Puma+Men+Grey+T-shirt+buy
DF003,Inkfruit Mens Chain Reaction T-shirt,upper,grey,data/catalog/images/df_upper_003.jpg,https://www.google.com/search?tbm=shop&q=Inkfruit+Mens+Chain+Reaction+T-shirt+buy
DF004,Fabindia Men Striped Green Shirt,upper,green,data/catalog/images/df_upper_004.jpg,https://www.google.com/search?tbm=shop&q=Fabindia+Men+Striped+Green+Shirt+buy
DF005,Jealous 21 Women Purple Shirt,upper,purple,data/catalog/images/df_upper_005.jpg,https://www.google.com/search?tbm=shop&q=Jealous+21+Women+Purple+Shirt+buy
DF006,Reid & Taylor Men Check Purple Shirts,upper,purple,data/catalog/images/df_upper_006.jpg,https://www.google.com/search?tbm=shop&q=Reid+%26+Taylor+Men+Check+Purple+Shirts+buy
DF007,Gini and Jony Girls Knit White Top,upper,white,data/catalog/images/df_upper_007.jpg,https://www.google.com/search?tbm=shop&q=Gini+and+Jony+Girls+Knit+White+Top+buy
DF008,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,upper,grey,data/catalog/images/df_upper_008.jpg,https://www.google.com/search?tbm=shop&q=ADIDAS+Men+Lfc+Auth+Hood+Grey+Sweatshirts+buy
DF009,Fila Men's Round Neck Navy Blue T-shirt,upper,navy blue,data/catalog/images/df_upper_009.jpg,https://www.google.com/search?tbm=shop&q=Fila+Men%27s+Round+Neck+Navy+Blue+T-shirt+buy
DF010,John Players Men Navy Blue Shirt,upper,navy blue,data/catalog/images/df_upper_010.jpg,https://www.google.com/search?tbm=shop&q=John+Players+Men+Navy+Blue+Shirt+buy
DF011,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,upper,green,data/catalog/images/df_upper_011.jpg,https://www.google.com/search?tbm=shop&q=Disney+Kids+Boy%27s+Crew+Sea+Life+Sialing+Green+Teen+Kidswear+buy
DF012,John Players Men Brown Shirt,upper,brown,data/catalog/images/df_upper_012.jpg,https://www.google.com/search?tbm=shop&q=John+Players+Men+Brown+Shirt+buy
DF013,Diva Women Embroided Green Kurta,upper,green,data/catalog/images/df_upper_013.jpg,https://www.google.com/search?tbm=shop&q=Diva+Women+Embroided+Green+Kurta+buy
DF014,Jealous 21 Women's Pink T-shirt,upper,pink,data/catalog/images/df_upper_014.jpg,https://www.google.com/search?tbm=shop&q=Jealous+21+Women%27s+Pink+T-shirt+buy
